feature,importance
newbalanceOrig,0.13438718169834357
amountToBalanceRatio_orig,0.12896549944561075
balanceChange_orig,0.12780908810514013
oldbalanceDest,0.10078106823551287
type_PAYMENT,0.09808631168046408
isOriginEmpty,0.0969981807235961
errorBalanceOrig,0.05881040209321541
type_CASH_OUT,0.05657407607920575
type_TRANSFER,0.05492336290495154
oldbalanceOrg,0.054119475248922154
balanceChange_dest,0.026900748077742544
isDestEmpty,0.018876430036541443
errorBalanceDest,0.016631134231221482
newbalanceDest,0.015268116095251028
amount,0.008957413163937646
type_DEBIT,0.001909129221746216
type_CASH_IN,2.3829585972390356e-06
step,0.0
